sn	patient	batch	sample_name
W0001_1	W0001	batch_1	PRJEB38984_W0001_1
W0001_2	W0001	batch_2	PRJEB38984_W0001_2
W0001_3	W0001	batch_3	PRJEB38984_W0001_3
W0001_4	W0001	batch_4	PRJEB38984_W0001_4
W0002_1	W0002	batch_1	PRJEB38984_W0002_1
W0002_2	W0002	batch_2	PRJEB38984_W0002_2
W0002_3	W0002	batch_3	PRJEB38984_W0002_3
W0002_4	W0002	batch_4	PRJEB38984_W0002_4
W0003_1	W0003	batch_1	PRJEB38984_W0003_1
W0003_2	W0003	batch_2	PRJEB38984_W0003_2
W0003_3	W0003	batch_3	PRJEB38984_W0003_3
W0003_4	W0003	batch_4	PRJEB38984_W0003_4
W0004_1	W0004	batch_1	PRJEB38984_W0004_1
W0004_2	W0004	batch_2	PRJEB38984_W0004_2
W0004_3	W0004	batch_3	PRJEB38984_W0004_3
W0004_4	W0004	batch_4	PRJEB38984_W0004_4
W0005_1	W0005	batch_1	PRJEB38984_W0005_1
W0005_2	W0005	batch_2	PRJEB38984_W0005_2
W0005_3	W0005	batch_3	PRJEB38984_W0005_3
W0005_4	W0005	batch_4	PRJEB38984_W0005_4
W0006_1	W0006	batch_1	PRJEB38984_W0006_1
W0006_2	W0006	batch_2	PRJEB38984_W0006_2
W0006_3	W0006	batch_3	PRJEB38984_W0006_3
W0006_4	W0006	batch_4	PRJEB38984_W0006_4
W0007_1	W0007	batch_1	PRJEB38984_W0007_1
W0007_2	W0007	batch_2	PRJEB38984_W0007_2
W0007_3	W0007	batch_3	PRJEB38984_W0007_3
W0007_4	W0007	batch_4	PRJEB38984_W0007_4
W0008_1	W0008	batch_1	PRJEB38984_W0008_1
W0008_2	W0008	batch_2	PRJEB38984_W0008_2
W0008_3	W0008	batch_3	PRJEB38984_W0008_3
W0008_4	W0008	batch_4	PRJEB38984_W0008_4
W0009_1	W0009	batch_1	PRJEB38984_W0009_1
W0009_2	W0009	batch_2	PRJEB38984_W0009_2
W0009_3	W0009	batch_3	PRJEB38984_W0009_3
W0009_4	W0009	batch_4	PRJEB38984_W0009_4
W0010_1	W0010	batch_1	PRJEB38984_W0010_1
W0010_2	W0010	batch_2	PRJEB38984_W0010_2
W0010_3	W0010	batch_3	PRJEB38984_W0010_3
W0011_1	W0011	batch_1	PRJEB38984_W0011_1
W0011_2	W0011	batch_2	PRJEB38984_W0011_2
W0011_3	W0011	batch_3	PRJEB38984_W0011_3
W0011_4	W0011	batch_4	PRJEB38984_W0011_4
W0012_1	W0012	batch_1	PRJEB38984_W0012_1
W0012_2	W0012	batch_2	PRJEB38984_W0012_2
W0012_3	W0012	batch_3	PRJEB38984_W0012_3
W0012_4	W0012	batch_4	PRJEB38984_W0012_4
W0013_1	W0013	batch_1	PRJEB38984_W0013_1
W0013_3	W0013	batch_3	PRJEB38984_W0013_3
W0013_4	W0013	batch_4	PRJEB38984_W0013_4
W0014_1	W0014	batch_1	PRJEB38984_W0014_1
W0014_2	W0014	batch_2	PRJEB38984_W0014_2
W0014_3	W0014	batch_3	PRJEB38984_W0014_3
W0014_4	W0014	batch_4	PRJEB38984_W0014_4
W0015_1	W0015	batch_1	PRJEB38984_W0015_1
W0015_2	W0015	batch_2	PRJEB38984_W0015_2
W0015_3	W0015	batch_3	PRJEB38984_W0015_3
W0015_4	W0015	batch_4	PRJEB38984_W0015_4
W0016_1	W0016	batch_1	PRJEB38984_W0016_1
W0016_2	W0016	batch_2	PRJEB38984_W0016_2
W0016_3	W0016	batch_3	PRJEB38984_W0016_3
W0016_4	W0016	batch_4	PRJEB38984_W0016_4
W0017_1	W0017	batch_1	PRJEB38984_W0017_1
W0017_2	W0017	batch_2	PRJEB38984_W0017_2
W0017_3	W0017	batch_3	PRJEB38984_W0017_3
W0017_4	W0017	batch_4	PRJEB38984_W0017_4
W0018_1	W0018	batch_1	PRJEB38984_W0018_1
W0018_2	W0018	batch_2	PRJEB38984_W0018_2
W0018_3	W0018	batch_3	PRJEB38984_W0018_3
W0018_4	W0018	batch_4	PRJEB38984_W0018_4
W0019_1	W0019	batch_1	PRJEB38984_W0019_1
W0019_2	W0019	batch_2	PRJEB38984_W0019_2
W0019_3	W0019	batch_3	PRJEB38984_W0019_3
W0019_4	W0019	batch_4	PRJEB38984_W0019_4
W0020_1	W0020	batch_1	PRJEB38984_W0020_1
W0020_2	W0020	batch_2	PRJEB38984_W0020_2
W0020_3	W0020	batch_3	PRJEB38984_W0020_3
W0020_4	W0020	batch_4	PRJEB38984_W0020_4
W0021_1	W0021	batch_1	PRJEB38984_W0021_1
W0021_2	W0021	batch_2	PRJEB38984_W0021_2
W0021_3	W0021	batch_3	PRJEB38984_W0021_3
W0022_1	W0022	batch_1	PRJEB38984_W0022_1
W0022_3	W0022	batch_3	PRJEB38984_W0022_3
W0022_4	W0022	batch_4	PRJEB38984_W0022_4
W0023_1	W0023	batch_1	PRJEB38984_W0023_1
W0023_2	W0023	batch_2	PRJEB38984_W0023_2
W0023_3	W0023	batch_3	PRJEB38984_W0023_3
W0023_4	W0023	batch_4	PRJEB38984_W0023_4
W0024_1	W0024	batch_1	PRJEB38984_W0024_1
W0024_3	W0024	batch_3	PRJEB38984_W0024_3
W0024_4	W0024	batch_4	PRJEB38984_W0024_4
W0025_1	W0025	batch_1	PRJEB38984_W0025_1
W0025_2	W0025	batch_2	PRJEB38984_W0025_2
W0025_3	W0025	batch_3	PRJEB38984_W0025_3
W0025_4	W0025	batch_4	PRJEB38984_W0025_4
W0026_1	W0026	batch_1	PRJEB38984_W0026_1
W0026_2	W0026	batch_2	PRJEB38984_W0026_2
W0026_3	W0026	batch_3	PRJEB38984_W0026_3
